"","OBJECTID","MUID","SEQN","SNAM","S5ID","CMPPCT","NLAYERS","HYDGRP","SOL_ZMX","ANION_EXCL","SOL_CRK","TEXTURE","SOL_Z1","SOL_BD1","SOL_AWC1","SOL_K1","SOL_CBN1","CLAY1","SILT1","SAND1","ROCK1","SOL_ALB1","USLE_K1","SOL_EC1","SOL_CAL1","SOL_PH1","SOL_Z2","SOL_BD2","SOL_AWC2","SOL_K2","SOL_CBN2","CLAY2","SILT2","SAND2","ROCK2","SOL_ALB2","USLE_K2","SOL_EC2","SOL_CAL2","SOL_PH2","SOL_Z3","SOL_BD3","SOL_AWC3","SOL_K3","SOL_CBN3","CLAY3","SILT3","SAND3","ROCK3","SOL_ALB3","USLE_K3","SOL_EC3","SOL_CAL3","SOL_PH3","SOL_Z4","SOL_BD4","SOL_AWC4","SOL_K4","SOL_CBN4","CLAY4","SILT4","SAND4","ROCK4","SOL_ALB4","USLE_K4","SOL_EC4","SOL_CAL4","SOL_PH4","SOL_Z5","SOL_BD5","SOL_AWC5","SOL_K5","SOL_CBN5","CLAY5","SILT5","SAND5","ROCK5","SOL_ALB5","USLE_K5","SOL_EC5","SOL_CAL5","SOL_PH5"
"42",42,"",1,"SOIL_0043","",1,4,"",100,0.5,0.5,"",5,1.25546231128184,0.182215456477297,6.31547978966638,7.04863387978142,35.1122950819672,30.6579234972678,34.2311475409836,0,0.151629102462024,0.216756077630993,0,0,0,15,1.35564307444587,0.183769844272106,4.24243215857569,5.45098360655738,35.7838797814208,30.4155737704918,33.798087431694,0,0.15182783204948,0.216363727647162,0,0,0,30,1.52008293063355,0.17597888170469,5.11472617799656,3.51382513661202,39.0213114754098,28.6448087431694,32.3357923497268,0,0.153374052970825,0.212231221909119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",43,"",1,"SOIL_0044","",1,4,"",100,0.5,0.5,"",5,1.30930371076059,0.182625956027367,7.42508380064005,6.34073170731707,36.6243902439024,29.8609756097561,33.5219512195122,0,0.151693868796503,0.214910313135389,0,0,0,15,1.36394421682077,0.183705149096401,5.64870774742902,5.42780487804878,36.5439024390244,30.280487804878,33.1707317073171,0,0.151773237077835,0.216447030812006,0,0,0,30,1.50526351038931,0.178041546887256,6.43418012610941,3.7290243902439,39.2219512195122,29.2682926829268,31.5,0,0.153244715875904,0.214800119613921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",44,"",1,"SOIL_0045","",1,4,"",100,0.5,0.5,"",5,1.28689546070938,0.185310979395887,7.58634839658671,6.32,34,27.6,38.4,0,0.15175429336669,0.204670141477953,0,0,0,15,1.34454829281983,0.186512440504328,5.07527869097418,5.33,33.7,28,38.2,0,0.152016210346244,0.206122548013385,0,0,0,30,1.52639868493814,0.186051910907494,2.54646330812347,3.42,38.9,25.7,35.4,0,0.153906321711913,0.200817681941584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,"",1,"SOIL_0046","",1,4,"",100,0.5,0.5,"",5,1.4148888120628,0.192908528901987,15.8011210900188,5.22,40.7333333333333,31.1333333333333,28.1666666666667,0,0.151962828758395,0.223250971615478,0,0,0,15,1.51118985516125,0.189781587458363,10.891931813767,3.88666666666667,41.2,30.9666666666667,27.9,0,0.152542415351799,0.222995295814362,0,0,0,30,1.67182579018811,0.170877665052446,1.93148028338776,2.50666666666667,46.3666666666667,28.3666666666667,25.3,0,0.153076971886234,0.218695353854488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",46,"",1,"SOIL_0047","",1,4,"",100,0.5,0.5,"",5,1.20004665207551,0.189484863267006,6.56399897538212,8.05247663551402,34.9252336448598,30.842523364486,34.2359813084112,0,0.151654955332038,0.217298932385852,0,0,0,15,1.27537039827499,0.182869768567865,6.79327160914483,6.70289719626168,35.1705607476636,31.0584112149533,33.7663551401869,0,0.151645578017401,0.218299359587159,0,0,0,30,1.44567109893755,0.183427448147926,3.09969757409196,4.36023364485981,37.7308411214953,30.1607476635514,32.1079439252336,0,0.152798463805309,0.216938343335769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",47,"",1,"SOIL_0048","",1,4,"",100,0.5,0.5,"",5,1.24538563729326,0.188722627429229,11.8003692050361,7.14218694885361,34.5663139329806,33.120811287478,32.3114638447972,0,0.151477773472497,0.225471911730776,0,0,0,15,1.32941719588627,0.188064046152882,10.0607848137389,5.76021164021164,35.0033509700176,33.0624338624339,31.9312169312169,0,0.151686494189302,0.225606688380442,0,0,0,30,1.50216938347771,0.175950675393959,6.75025759794002,3.71227513227513,38.7363315696649,31.4410934744268,29.8227513227513,0,0.153170045960756,0.222676810148871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",48,"",1,"SOIL_0049","",1,4,"",100,0.5,0.5,"",5,1.26028745684276,0.183047624258268,12.8600824094738,7.28016129032258,37.0612903225806,32.4516129032258,30.4983870967742,0,0.1514406605123,0.225007500299798,0,0,0,15,1.35980115610423,0.182089655950196,8.90008876739537,5.61322580645161,37.3725806451613,32.6258064516129,30,0,0.151695863756337,0.225956110373145,0,0,0,30,1.53129833794982,0.173064258687951,7.44835436374034,3.45193548387097,39.7258064516129,31.4129032258065,28.8548387096774,0,0.152826047726515,0.223495101178498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",49,"",1,"SOIL_0050","",1,4,"",100,0.5,0.5,"",5,1.29578719502877,0.187329061868955,7.69120926275527,6.22171368124118,34.3468970380818,30.9912552891396,34.6628349788434,0,0.151658329095335,0.217430256749011,0,0,0,15,1.41031925508257,0.192267948370835,3.38551147516209,4.5237658674189,35.07023977433,30.6770098730607,34.2514809590973,0,0.153029312481559,0.216801423337371,0,0,0,30,1.58562797574689,0.173150169403555,5.35471249012154,2.69282792665726,38.6752468265162,29.3456276445698,31.9800423131171,0,0.153093486407716,0.214993998471603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",50,"",1,"SOIL_0051","",1,4,"",100,0.5,0.5,"",5,1.35604317638192,0.188764721082951,14.9351075170405,5.24916449086162,34.4031331592689,34.8751958224543,30.7221932114883,0,0.15166746675982,0.231809774156594,0,0,0,15,1.44855048513841,0.193684605379397,7.27156449425609,4.03425587467363,35.4514360313316,34.5436031331593,30.0075718015666,0,0.152926185607449,0.231465973329234,0,0,0,30,1.61052987462697,0.173385832816961,13.4143716198202,2.3989817232376,38.4328981723238,32.9328981723238,28.6308093994778,0,0.152701139476743,0.229156262234368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",51,"",1,"SOIL_0052","",1,4,"",100,0.5,0.5,"",5,1.34679463068937,0.184449321754078,7.35290279914454,5.36311764705882,34.1835294117647,32.4423529411765,33.37,0,0.151620862466715,0.222675491914479,0,0,0,15,1.46179726538738,0.180414779740989,4.17785081170102,3.82152941176471,35.17,32.1688235294118,32.6676470588235,0,0.153429119187852,0.222416376096039,0,0,0,30,1.63904764735065,0.167179669205312,31.2485825109458,2.16105882352941,39.0270588235294,30.5388235294118,30.4288235294118,0,0.15286115538711,0.221786974186125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
